iter	Passed	Remaining
987	21332	259
988	21352	237
989	21372	215
990	21394	194
991	21417	172
992	21436	151
993	21458	129
994	21481	107
995	21502	86
996	21524	64
997	21544	43
998	21563	21
999	21583	0
